ชื่อย่อหลักทรัพย์,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,เบอร์โทรศัพท์,เบอร์โทรสาร,URL,พาร์,จำนวนหุ้นจดทะเบียน (ล้านหุ้น),มูลค่าหลักทรัพย์ตามราคาตลาด (ลบ.),ราคา (บาท/หุ้น),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท/หุ้น),P/BV (X),P/E (X),อัตราหมุนเวียนปริมาณการซื้อขาย (%),มูลค่าซื้อขาย/วัน (ลบ.),Beta,การเปลี่ยนแปลงของราคา (%),อัตราเงินปันผลตอบแทน (%),อัตราส่วนเงินปันผลต่อกำไร,นโยบายเงินปันผล,ผู้ถือหุ้นรายใหญ่,จำนวนหุ้น,สัดส่วนหุ้น,สินทรัพย์รวม,หนี้สินรวม,ส่วนของผู้ถือหุ้น,มูลค่าหุ้นที่เรียกชำระแล้ว,รายได้รวม,กำไร (ขาดทุน) จากกิจกรรมอื่น,กำไรสุทธิ,กำไรต่อหุ้น (บาท)
TNH,บริการ,,เลขที่ 345 ถนนเทพรัตน แขวงบางนาเหนือ เขตบางนา กทม. 10260,"0-2340-6488, 0-2340-6499, 0-2340-7777",0-2340-6431,http://www.thainakarin.co.th,1.00 บาท,180.00,6525.00,36.25,12.88,2.81,15.04,2.74,1.66,0.26,10.69,1.38,0.21,ไม่ต่ำกว่าร้อยละ 60 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล (โดยมีเงื่อนไขเพิ่มเติม),บริษัท สยามสินทรัพย์พัฒนา จำกัด,50000000,27.78,2886.42,454.35,2432.07,180.00,1999.61,3.45,373.43,2.07
TNITY,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารบางกอกซิตี้ทาวเวอร์ ชั้น 26, 179/111 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม. 10120",0-2801-9100,0-2343-9690,http://www.trinitythai.com,5.00 บาท,214.40,1886.76,8.80,8.47,1.04,7.85,170.23,45.40,1.61,-2.22,11.36,0.89,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิของงบการเงินรวม และต้องไม่เกินกว่ากำไรสะสมที่ยังไม่ได้จัดสรรตามงบการเงินเฉพาะของบริษัทในแต่ละปีให้กับผู้ถือหุ้น,นาง จันทิรา ลือสกุล,23000501,10.73,7428.95,5612.40,1816.56,1072.02,229.23,4.84,56.77,0.26
TNL,สินค้าอุปโภคบริโภค,แฟชั่น,129/1 ถนนช่องนนทรี แขวงช่องนนทรี เขตยานนาวา กทม. 10120,"0-2295-0911-9, 0-2295-4171-80, 0-2681-3441-50","0-2294-5101, 0-2294-5918",http://www.thanulux.com,1.00 บาท,120.00,2556.00,21.30,33.12,0.64,39.19,42.95,10.35,-0.13,18.33,2.35,0.92,อัตราหุ้นละ 0.20 บาท (ร้อยละ 20 ของมูลค่าที่ตราไว้) แต่ทั้งนี้ขึ้นอยู่กับผลการผลการดำเนินงานของบริษัทและภาวะเศรษฐกิจเป็นหลัก,บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),29920820,24.93,4548.09,573.83,3973.87,120.00,427.57,-0.44,20.57,0.17
TNP,บริการ,,เลขที่ 329 หมู่ 8 ตำบลบ้านดู่ อำเภอเมืองเชียงราย เชียงราย 57100,0-5377-6144,-,http://www.thanapiriya.co.th,0.25 บาท,800.00,3328.00,4.16,1.18,3.52,19.48,21.92,8.15,0.40,-21.51,2.40,0.47,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิของงบเฉพาะกิจการที่เหลือหลังจากหักภาษีเงินได้นิติบุคคล และทุนสำรองต่าง ๆ ตามกฏหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาง อมร พุฒิพิริยะ,245800100,30.73,1258.11,312.79,945.32,200.00,591.82,-,35.78,0.04
TNPC,สินค้าอุตสาหกรรม,ยานยนต์,40 หมู่ 7 ถนนเพชรเกษม กม.23 ตำบลอ้อมน้อย อำเภอกระทุ่มแบน สมุทรสาคร 74130,"0-2810-3000, 0-2420-9968-74","0-2810-3933, 0-2420-1827, 0-2420-9967",http://www.thainam.com,1.00 บาท,340.81,988.36,2.90,1.66,1.75,8.91,323.00,31.59,1.66,25.75,1.62,0.14,ไม่เกินอัตราร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลแล้ว ทั้งนี้ อาจมีการเปลี่ยนแปลงได้โดยขึ้นอยู่กับผลการดำเนินงาน ฐานะทางการเงินและโครงการลงทุนในอนาคต,ธนาคาร กรุงเทพ จำกัด (มหาชน),31351994,9.81,1179.93,614.37,565.56,319.52,339.47,24.99,54.29,0.17
TNPF,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,44 อาคารซีไอเอ็มบี ไทย ชั้น 16 ถนนหลังสวน แขวงลุมพินี เขตปทุมวัน กทม. 10330,0-2686-9500,0-2657-3167,http://www.cimb-principal.co.th,9.84 บาท,340.81,988.36,2.90,1.66,1.75,8.91,323.00,31.59,1.66,25.75,1.62,0.14,ไม่เกินอัตราร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลแล้ว ทั้งนี้ อาจมีการเปลี่ยนแปลงได้โดยขึ้นอยู่กับผลการดำเนินงาน ฐานะทางการเงินและโครงการลงทุนในอนาคต,ธนาคาร กรุงเทพ จำกัด (มหาชน),31351994,9.81,849.87,0.86,-,-,0.60,-,-,-
TNR,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,เลขที่ 1 ถนนเจริญราษฎร์ แขวงทุ่งวัดดอน เขตสาทร กทม. 10120,0-2210-8888,0-2210-8821,http://www.tnrcondom.com,1.00 บาท,300.00,2565.00,8.55,2.63,3.25,,3.59,0.87,0.65,-6.04,,,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิจากงบเฉพาะกิจการภายหลังหักภาษีเงินได้นิติบุคคล และเงินสำรองต่างๆ ทุกประเภทตามที่กำหนดไว้ในกฎหมายและข้อบังคับของบริษัท (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เจริญอักษร โฮลดิ้ง กรุ๊พ จำกัด,78750000,26.25,1699.18,910.60,788.58,300.00,520.44,0.88,68.23,0.23
TOA,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,31/2 หมู่ 3 ถนนบางนา-ตราด ตำบลบางเสาธง อำเภอบางเสาธง สมุทรปราการ 10570,0-2335-5555,0-2312-8919,http://www.toagroup.com,1.00 บาท,2029.00,54275.75,26.75,6.24,4.28,32.02,5.89,32.99,0.52,-16.41,1.87,0.60,ไม่น้อยกว่าร้อยละ 40.0 ของกำไรสุทธิตามงบการเงินเฉพาะหลังหักภาษีเงินได้นิติบุคคลและหลังหักสำรองต่าง ๆ ทุกประเภทที่ฎหมายและบริษัทฯ กำหนดไว้ในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ทีโอเอ กรุ๊ป โฮลดิ้ง จำกัด,608400000,29.99,19211.45,6023.11,12669.45,2029.00,4997.19,-37.18,410.14,0.20
TOG,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,15/5 หมู่ 6 ถนนบางบัวทอง-สุพรรณบุรี ตำบลละหาร อำเภอบางบัวทอง นนทบุรี 11110,0-2440-0506-7,0-2862-0705,http://www.thaiopticalgroup.com,1.00 บาท,474.32,3865.69,8.15,4.29,1.90,13.33,32.20,14.95,1.55,-21.63,6.87,0.92,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิของงบการเงินรวมหลังหักเงินสำรองต่าง ๆ ทุกประเภทที่กฎหมายและบริษัทฯได้กำหนดไว้,SPECSAVERS ASIA PACIFIC HOLDINGS LIMITED,147466600,31.09,3013.84,979.60,2034.24,474.32,654.84,7.54,76.00,0.16
TOP,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 555/1 ศูนย์เอนเนอร์ยี่ คอมเพล็กซ์ อาคารเอ ชั้น 11 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กทม. 10900,"0-2797-2999, 0-2299-0000",0-2797-2970,http://www.thaioilgroup.com,10.00 บาท,2040.03,115771.58,56.75,62.36,0.91,7.06,82.43,867.96,1.23,14.65,4.58,0.32,ไม่น้อยกว่าร้อยละ 25 ของกำไรสุทธิของงบการเงินรวม ภายหลังจากการหักทุนสำรองต่างๆ ทุกประเภทตามที่ได้กำหนดไว้ในข้อบังคับของบริษัทฯ และตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ปตท. จำกัด (มหาชน),918565183,45.03,398583.31,269012.74,127208.15,20400.28,120989.65,-6997.22,7182.67,3.52
TOPP,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,1741 ถนนจันทน์ แขวงทุ่งมหาเมฆ เขตสาทร กทม. 10120,"0-2678-1051-5, 0-2285-4940","0-2285-4991, 0-2285-4942",http://www.topp.co.th,10.00 บาท,6.00,990.00,165.00,251.59,0.66,12.73,0.26,0.02,0.16,2.80,2.45,0.31,บริษัทจะคำนึงถึงผลประกอบการ และสภาพคล่องที่ไม่ทำให้มีผลกระทบต่อกิจการ (โดยมีเงื่อนไขเพิ่มเติม),ร.ต.อ. สุเมธ ลิ่มอติบูลย์,883263,14.72,1793.87,284.31,1509.56,60.00,427.90,2.31,22.18,3.70
TPA,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,60-61 หมู่ 9 ถนนพุทธมณฑลสาย 4 ตำบลกระทุ่มล้ม อำเภอสามพราน นครปฐม 73220,"0-2429-2020, 0-2429-2487-8, 0-2889-8720-5","0-2429-2541, 0-2429-2534, 0-2888-5951",http://www.thaipolyacrylic.com,1.00 บาท,121.50,735.08,6.05,3.91,1.55,247.82,1.22,0.09,0.51,-4.72,7.44,18.43,บริษัทจะดำเนินการให้มีการจ่ายเงินปันผลอย่างสม่ำเสมอ โดยพิจารณาถึงความเพียงพอของกำไรสะสมต่อการดำเนินธุรกิจในอนาคต,MCC METHACRYLATES UK OVERSEAS HOLDCO LIMITED,51374360,42.28,739.97,264.38,475.60,121.50,204.38,-,-3.60,-0.03
TPAC,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,77 ซอยเทียนทะเล 30 ถนนบางขุนเทียน-ชายทะเล แขวงท่าข้าม เขตบางขุนเทียน กทม. 10150,0-2897-2250-1,0-2897-2426,http://www.thaiplaspac.com,1.00 บาท,326.55,5126.83,15.70,6.64,2.36,19.62,6.03,2.82,0.81,0.00,0.90,0.18,ไม่ต่ำกว่าร้อยละ 30 ของกำไรสุทธิหลังจากหักภาษีเงินได้นิติบุคคลและ เงินสำรองตามกฎหมาย(โดยมีเงื่อนไขเพิ่มเติม),นาย อานุช โลเฮีย,225688192,69.11,7405.06,4880.70,2169.53,326.55,1642.52,5.04,88.33,0.27
TPBI,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,42/174 หมู่ที่ 5 ซอยศรีเสถียรนิเวศน์ ถนนเพชรเกษม ตำบลไร่ขิง อำเภอสามพราน นครปฐม 73210,0-2429-0354-7,"0-2429-0358, 0-2812-5030",http://www.tpbigroup.com,1.00 บาท,416.88,1984.35,4.76,5.73,0.83,24.92,6.47,1.25,0.63,3.48,,-,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิ หลังหักสำรองตามกฎหมายและสำรองอื่น ๆ (ถ้ามี),นาย สมศักดิ์ บริสุทธนะกุล,58862300,14.12,5139.10,2581.42,2388.91,416.88,1646.52,-0.54,28.38,0.07
TPCH,ทรัพยากร,,4/2 ซอยประเสริฐมนูกิจ 29 แยก 8 ถนนประเสริฐมนูกิจ แขวงจรเข้บัว เขตลาดพร้าว กทม. 10230,0-2943-2935-6,-,http://www.tpcpower.co.th,1.00 บาท,401.20,3490.44,8.70,7.29,1.19,27.94,13.98,5.97,0.32,-28.10,4.55,1.27,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลของงบการเงินเฉพาะกิจการของบริษัทฯ บริษัทย่อย และกิจการที่ควบคุมร่วมกัน ตามแต่กรณีภายหลังหักสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ไทยโพลีคอนส์ จำกัด (มหาชน),106643950,26.58,9270.30,5482.64,2922.80,401.20,661.96,-9.28,36.99,0.09
TPCS,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,เลขที่ 489 ถนนพระรามที่ 3 แขวงบางโคล่ เขตบางคอแหลม กทม. 10120,0-2294-0071,-,http://www.tpcsplc.com,1.00 บาท,108.00,2376.00,22.00,24.40,0.90,13.53,5.11,1.13,0.50,39.24,3.41,0.46,ในอัตราหุ้นละ 0.25 บาท (หรือ 25% ของราคา par) แต่ทั้งนี้ขึ้นอยู่กับผลการดำเนินงานและภาวะเศรษฐกิจ (โดยมีเงื่อนไขเพิ่มเติม),บริษัท สหพัฒนาอินเตอร์โฮลดิ้ง จำกัด (มหาชน),21632850,20.03,2950.87,285.61,2634.97,108.00,434.25,-1.28,99.25,0.92
TPIPL,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,26/56 ถนนจันทน์ตัดใหม่ แขวงทุ่งมหาเมฆ เขตสาทร กทม. 10120,"0-2213-1039-49, 0-2285-5090-9","0-2213-1035, 0-2213-1038",http://www.tpipolene.co.th,1.00 บาท,19126.50,30219.87,1.58,2.63,0.60,4.74,14.93,46.31,0.96,-8.14,5.72,0.27,พิจารณาจากผลประกอบการและสถานะทางการเงินของบริษัท,บริษัท เลียวไพรัตนวิสาหกิจ จำกัด,4794734490,25.07,134158.62,74913.13,49800.56,19126.50,13057.33,52.34,1800.13,0.10
TPIPP,ทรัพยากร,พลังงานและสาธารณูปโภค,เลขที่ 26/56 ถนนจันทน์ตัดใหม่ แขวงทุ่งมหาเมฆ เขตสาทร กทม. 10120,"0-2285-5090-9, 0-2213-1039",0-2213-1035,http://www.tpipolenepower.co.th,1.00 บาท,8400.00,31248.00,3.72,3.77,0.99,7.84,6.07,19.19,0.45,-10.58,6.72,0.53,ไม่น้อยกว่าร้อยละ 50.0 ของกำไรสุทธิจากงบเฉพาะกิจการภายหลังหักภาษีเงินได้นิติบุคคล และเงินสำรองต่าง ๆ ทุกประเภทตามที่กำหนดไว้ในกฎหมายและข้อบังคับของบริษัทฯ (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ทีพีไอ โพลีน จำกัด (มหาชน),5899999300,70.24,49693.76,17987.54,31706.22,8400.00,2894.62,0.98,854.58,0.10
TPLAS,สินค้าอุตสาหกรรม,,เลขที่ 53/1 หมู่ที่ 4 ถนนกาญจนาภิเษก ตำบลบางแม่นาง อำเภอบางใหญ่ นนทบุรี 11140,0-2191-8288-9,0-2191-8290,http://www.tpic.co.th,0.50 บาท,270.00,869.40,3.22,1.23,2.63,25.62,463.21,44.14,1.51,11.81,3.11,0.80,ไม่ต่ำกว่าอัตราร้อยละ 30 ของกำไรสุทธิตามงบการเงินเฉพาะกิจการ ภายหลังจากหักภาษีและเงินทุนสำรองตามกฎหมายและเงินสำรองอื่น (ถ้ามี) (โดยมีเงื่อนไขเพิ่มเติม),นาย ธีระชัย ธีระรุจินนท์,160080000,59.29,398.15,67.36,330.79,135.00,142.51,-,9.87,0.04
TPOLY,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,"2,4 ซ.ประเสริฐมนูกิจ 29 แยก 8 ถนนประเสริฐมนูกิจ แขวงจรเข้บัว เขตลาดพร้าว กทม. 10230","0-2942-6491-6, 0-2943-2930-8",0-2942-6497-8,http://www.thaipolycons.co.th,1.00 บาท,572.76,979.42,1.71,2.15,0.79,,10.82,1.18,0.52,-15.35,,,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคลจากงบการเงินเฉพาะของบริษัท และหลังหักสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),นาง กนกทิพย์ จันทร์พลังศรี,193333038,33.75,11729.57,8013.17,1232.95,572.76,1168.99,-4.14,-56.23,-0.10
TPP,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,9/9 หมู่ 6 ถนนกิ่งแก้ว ตำบลราชาเทวะ อำเภอบางพลี สมุทรปราการ 10540,"0-2175-2201-8, 0-2175-2210-6","0-2175-2209, 0-2175-2218",http://www.tpppack.com,10.00 บาท,37.50,907.50,24.20,24.63,0.98,31.73,5.55,0.42,0.42,30.11,8.26,2.62,ไม่ต่ำกว่าร้อยละ 50 ของกำไรสุทธิหลังหักภาษีเงินได้สุทธิประจำปีแล้ว โดยจะจ่ายให้แก่ผู้ถือหุ้นในปีถัดไป,นาย ธนรัชต์ พสวงศ์,9369400,24.99,1069.34,145.55,923.51,375.00,64.45,-,8.14,0.22
TPRIME,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,388 อาคารเอ็กเชน ทาวเวอร์ ชั้น 17 ห้อง 1701-2 ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กทม. 10110,0-2258-4515,0-2258-4519,http://www.tprimereit.com,8.7305 บาท,547.50,4297.88,7.85,12.33,0.64,-,3.41,1.47,0.27,-10.80,5.57,,ไม่น้อยกว่าร้อยละ 90 ของกำไรสุทธิที่ปรับปรุงแล้วของรอบปีบัญชี โดยประโยชน์ตอบแทนที่จะจ่ายให้แก่ผู้ถือหน่วยทรัสต์นั้นได้แก่ประโยชน์ตอบแทนสำหรับรอบปีบัญชีและประโยชน์ตอบแทนระหว่างกาล (ถ้ามี) (โดยมีเงื่อนไขเพิ่มเติม),-0.63,0.20,0.28,9500.90,2745.20,-,-,193.65,-37.55,-,-
TPS,เทคโนโลยี,,เลขที่ 99 ซอยซิเมนต์ไทย ถนนรัชดาภิเษก แขวงลาดยาว เขตจตุจักร กทม. 10900,0-2112-9999,0-2112-9998,https://www.thepractical.co.th,0.50 บาท,336.00,1034.88,3.08,1.25,2.47,20.71,375.32,39.28,0.64,5.48,2.60,0.54,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิจากผลการดำเนินงานของบริษัทฯ,นาย บุญสม กิจเกษตรสถาพร,110200000,32.80,765.17,345.12,419.16,168.00,202.63,-,14.04,0.04
TQM,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,123 ถนนลาดปลาเค้า แขวงจรเข้บัว เขตลาดพร้าว กทม. 10230,0-2119-8888,0-2119-9000,http://www.tqmcorp.co.th,0.50 บาท,600.00,30150.00,50.25,4.72,10.64,33.41,70.51,182.83,1.22,3.61,2.44,0.81,ไม่น้อยกว่าร้อยละ 50.0 ของกำไรสุทธิตามงบการเงินเฉพาะกิจการ หลังหักภาษีเงินได้นิติบุคคลและหลังหักสำรองตามกฎหมายของแต่ละปี โดยอัตราการจ่ายเงินปันผลดังกล่าวอาจเปลี่ยนแปลงไปจากที่กำหนดไว้ (โดยมีเงื่อนไขเพิ่มเติม),บริษัท อีเทอนอล โกรท คอร์ปอเรชั่น จำกัด,306892800,51.15,4593.05,1430.01,2832.43,300.00,892.81,-,213.64,0.36
TQR,ธุรกิจการเงิน,,46/7 อาคารรุ่งโรจน์ธนกุล ชั้น 8 ถนนรัชดาภิเษก แขวงห้วยขวาง เขตห้วยขวาง กทม. 10310,0-2150-8560,0-2150-8563,https://www.tqr.co.th,0.50 บาท,230.00,3749.00,16.30,2.13,7.66,34.02,63.55,11.24,0.68,13.99,1.95,0.66,ไม่ต่ำกว่าร้อยละ 50.00 ของกำไรสุทธิหลังหักภาษีเงินได้นิติบุคคล และทุนสำรองตามกฎหมายในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),นาย อัญชลิน พรรณนิภา,59500000,25.87,576.26,85.75,489.23,115.00,56.16,-,24.63,0.11
TR,สินค้าอุปโภคบริโภค,แฟชั่น,"อาคารมหาทุนพลาซ่า ชั้น 16, 888/160-161 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม. 10330",0-2253-6745-54,"0-2254-3181, 0-2254-5472",http://www.thairayon.com,1.00 บาท,201.60,9676.80,48.00,149.19,0.32,2.76,9.35,9.11,0.37,-10.28,1.17,0.03,พิจารณาจ่ายเงินปันผลในอัตราร้อยละ 20-35 ของกำไรสุทธิจากงบการเงินเฉพาะกิจการ หลังจากจัดสรรเป็นทุนสำรองตามที่กฎหมายกำหนด (โดยมีเงื่อนไขเพิ่มเติม),ASSEAU COMPANY LIMITED,33582850,16.66,33446.11,3368.95,30077.16,201.60,10582.43,3045.78,3503.72,17.38
TRC,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,เลขที่ 8 ซอยสุขาภิบาล 5 ซอย 32 แขวงท่าแร้ง เขตบางเขน กทม. 10220,0-2022-7777,0-2022-7788,http://www.trc-con.com,0.125 บาท,9587.15,3355.50,0.35,0.04,9.12,175.54,102.90,40.33,1.81,-18.60,,-,ประมาณร้อยละ 40 ของกำไรสุทธิหลังจากหักภาษีและสำรองตามกฎหมาย (โดยมีเงื่อนไขเพิ่มเติม),บริษัท เคพีเค 1999 จำกัด,2712797314,28.30,4235.09,3898.91,368.07,1198.39,840.70,-4.90,-33.00,-
TRITN,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,เลขที่ 60 ซอยประดิษฐ์มนูธรรม 19 ถนนประดิษฐ์มนูธรรม แขวงลาดพร้าว เขตลาดพร้าว กทม. 10230,0-2553-5000,0-2553-5091,http://www.triton.co.th,0.10 บาท,11127.55,2225.51,0.20,0.15,1.35,,95.72,25.91,0.72,-16.67,,,ไม่น้อยกว่า 50% ของกำไรสุทธิในแต่ละปี ภายหลังหักภาษีเงินได้นิติบุคคล และเงินสำรองตามกฎหมายหรือตามความเหมาะสม,น.ส. หลุยส์ เตชะอุบล,1668100100,14.99,2720.05,1053.28,1644.02,1112.76,182.05,0.71,22.84,-
TRT,ทรัพยากร,,"นิคมอุตสาหกรรมบางปู, 516/1 หมู่ 4 ถนนสุขุมวิท ตำบลแพรกษา อำเภอเมือง สมุทรปราการ 10280",0-2769-7699,-,http://www.tirathai.co.th,1.00 บาท,308.01,1238.19,4.02,3.64,1.10,14.81,591.18,80.32,1.28,34.00,2.99,0.44,ไม่น้อยกว่าร้อยละ 50 ของกำไรสุทธิ,นาย สัมพันธ์ วงษ์ปาน,40109927,13.02,2725.90,1632.08,1121.07,308.01,445.28,-,-24.05,-0.08
TRU,สินค้าอุตสาหกรรม,ยานยนต์,304 ถนนมาเจริญ แขวงหนองค้างพลู เขตหนองแขม กทม. 10160,"0-2420-0076, 0-2431-0065, 0-2431-0071-2","0-2812-0844, 0-2420-3664, 0-2814-5030",http://www.thairung.co.th,1.00 บาท,596.09,3516.92,5.90,5.65,1.04,29.37,11.22,4.17,0.11,21.40,1.69,0.50,อัตราประมาณ 40% ของกำไรสุทธิหลังหักภาษีของงบการเงินรวม,นาง ปราณี เผอิญโชค,125736625,21.09,4030.50,606.99,3365.60,595.82,679.81,12.02,72.06,0.12
TRUBB,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,99/1-3 หมู่ 13 กฤษดานคร 21 ถนนบางนา-ตราด กม.7 ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ 10540,"0-2033-2333, 0-2033-2300-88",0-2033-2389-99,http://www.thaitex.com,1.00 บาท,817.78,2175.28,2.66,4.54,0.59,3.58,167.72,41.19,0.76,7.26,5.64,0.20,ในอัตราไม่ต่ำกว่า 1 ใน 3 ของกำไรสุทธิประจำปี หลังหักขาดทุนสะสม (ถ้ามี) ตามงบการเงินเฉพาะกิจการทั้งนี้ ขึ้นอยู่กับผลการดำเนินงานของกิจการ,นาง ทิพวรรณ สุธาทิพย์กุล,116925014,14.30,9297.85,5063.54,3710.54,817.77,2671.89,-0.46,133.01,0.16
True,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,"อาคารทรูทาวเวอร์, 18 ถนนรัชดาภิเษก เขตห้วยขวาง กทม. 10310",0-2859-1111,0-2859-9134,http://www.truecorp.co.th,4.00 บาท,33368.20,154161.06,4.62,2.39,1.93,,61.61,956.29,1.22,-3.35,1.51,,อย่างน้อยร้อยละ 50 ของกำไรสุทธิจากงบการเงินเฉพาะของบริษัทฯในแต่ละปี (โดยมีเงื่อนไขเพิ่มเติม),CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED,4495868474,13.47,625805.99,545643.19,79736.49,133472.78,36213.51,817.93,-1617.08,-0.05
TRV,สินค้าอุตสาหกรรม,,"40,88/8-9 ซอยเอกชัย 76 แยก 1-3-1 แขวงคลองบางพราน เขตบางบอน กทม. 10150",0-2451-1562-3,0-2451-2885,http://www.trvrubber.co.th,0.50 บาท,210.00,609.00,2.90,1.46,1.99,28.28,197.70,15.07,1.05,-27.14,,-,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิตามงบการเงินของบริษัทฯหลังหักภาษีและเงินทุนสำรองต่างๆ ทุกประเภทตามที่กฎหมายกำหนด เงินสำรองอื่น (ถ้ามี) (โดยมีเงื่อนไขเพิ่มเติม),บริษัท ที อาร์ ดับเบิ้ลยู โฮลดิ้ง จำกัด,80800000,38.48,379.23,73.55,305.68,105.00,47.04,-,5.98,0.03
TSC,สินค้าอุตสาหกรรม,ยานยนต์,เลขที่ 700/737 หมู่ที่ 1 ตำบลพานทอง อำเภอพานทอง ชลบุรี 20160,0-3844-7200-205,-,http://www.tscpcl.com,1.00 บาท,259.80,3533.28,13.60,5.83,2.33,18.81,1.28,0.46,0.27,-6.21,7.35,1.38,ไม่ต่ำกว่าร้อยละ 25 ของกำไรสุทธิหลังจากหักเงินสำรองต่างๆ ทุกประเภท (โดยมีเงื่อนไขเพิ่มเติม),นาย สรรเสริญ จุฬางกูร,83115000,31.99,2241.31,727.83,1513.48,259.80,1286.22,-,80.60,0.31
TSE,ทรัพยากร,พลังงานและสาธารณูปโภค,725 อาคารเมโทรโพลิศ ชั้น 19 ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กทม. 10110,0-2258-4530-3,0-2258-4534,http://www.thaisolarenergy.com,1.00 บาท,2117.72,4870.75,2.30,3.01,0.76,7.74,37.13,18.76,0.87,-12.21,3.26,0.25,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิจากงบเฉพาะกิจการภายหลังหักภาษีเงินได้นิติบุคคลและเงินสำรองต่างๆ ทุกประเภทตามที่กฎหมายกำหนดและตามที่กำหนดไว้ในข้อบังคับของบริษัทฯ,บริษัท พี.เอ็ม. เอ็นเนอร์ยี่ จำกัด,783034150,36.98,18636.85,12254.23,6382.62,2117.72,337.11,392.58,338.94,0.16
TSF,บริการ,,เลขที่ 1555 ซอยลาดพร้าว 94 (ปัญจมิตร) แขวงพลับพลา เขตวังทองหลาง กทม. 10310,0-2957-5532-3,0-2957-5532-4,http://www.365pcl.com,0.10 บาท,2117.72,4870.75,2.30,3.01,0.76,7.74,37.13,18.76,0.87,-12.21,3.26,0.25,ไม่น้อยกว่าร้อยละ 40 ของกำไรสุทธิจากงบเฉพาะกิจการภายหลังหักภาษีเงินได้นิติบุคคลและเงินสำรองต่างๆ ทุกประเภทตามที่กฎหมายกำหนดและตามที่กำหนดไว้ในข้อบังคับของบริษัทฯ,บริษัท พี.เอ็ม. เอ็นเนอร์ยี่ จำกัด,783034150,36.98,,,,,,,,
